[   29668ms] [LOG] [useCustomComponent] undefined @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   29669ms] [LOG] <<<originData: {verifyFinishCallback: , browserInfo: Object, isNewVerifyUI: true, uiManual: Object, generalParams: Object} @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   34392ms] [LOG] timer {timer: null, seconds: 60} @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   34401ms] [LOG] <<<click sendCode false @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   34401ms] [LOG] timer {timer: null, seconds: 60} @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   34580ms] [LOG] timer {timer: null, seconds: 60} @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   34581ms] [LOG] <<<beginCountDown @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   34581ms] [LOG] timer {timer: 1224, seconds: 59} @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   34582ms] [LOG] timer {timer: 1224, seconds: 59} @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
[   35584ms] [LOG] timer {timer: 1224, seconds: 58} @ https://auth.zijieapi.com/ucenter_web/app/second_verification_web/dist/index.umd.production.js?aid=6383&verify_reason=ato_web&verify_scene=qr_connect:1
